Page,Component,Ref,English,Spanish,French,Hindi
Article,,about_the_author,About The Author,Sobre el Autor,A propos de l'auteur,लेखक के बारे में
Article,,interview,Interview,Entrevista,Interview,साक्षात्कार
Article,,by,By,Por,Par,द्वारा
Article,,rate,Did you enjoy this article?,Disfrutaste este artículo?,Avez-vous apprécié cet article?,क्या आपको ये लेख अच्छा लगा?
Article,,related,More on this topic...,Más sobre este tema ...,Plus sur ce sujet ...,इस विषय पर अधिक ...
Article,,,,,,
Course,,starts,Starts,Empieza,Départs,प्रारंभ होगा
Course,,enroll_by,Enroll By,Inscribir,S'inscrire par,नामांकित करना
Course,,lessons,Lessons,Lecciones,Cours,पाठ
Course,,date,Date,Fecha,Date,दिनांक
Course,,lesson,Lesson,Lección,Leçon,पाठ
Course,,notebook,Notebook,Computadora portátil,Carnet,स्मरण पुस्तक
Course,,files,Files,Archivos,Des dossiers,फ़ाइलें
Course,,,,,,
GDPR,,table_of_contents,Table of Contents,Tabla de contenido,Table des matières,विषयसूची
GDPR,,what_are_cookies,What Are Cookies?,¿Qué son las cookies?,Que sont les cookies?,कुकीज़ क्या हैं?
GDPR,,why_do_we_use,Why Do We Use Cookies?,¿Por qué usamos cookies?,Pourquoi utilisons-nous des cookies?,हम कुकीज़ का उपयोग क्यों करते हैं?
GDPR,,how_to_control,How Can I Control Cookies?,¿Cómo puedo controlar las cookies?,Comment puis-je contrôler les cookies?,मैं कुकीज़ को कैसे नियंत्रित कर सकता हूं?
GDPR,,what_about_tracking,What About Other Tracking Technologies?,¿Qué pasa con otras tecnologías de seguimiento?,Qu'en est-il des autres technologies de suivi?,अन्य ट्रैकिंग प्रौद्योगिकियों के बारे में क्या?
GDPR,,use_flash,Do We Use Flash Cookies Or Local Shared Objects?,¿Usamos cookies flash o objetos compartidos locales?,Utilisons-nous des cookies flash ou des objets partagés locaux?,क्या हम फ्लैश कुकीज़ या स्थानीय साझा वस्तुओं का उपयोग करते हैं?
GDPR,,targeted_ads,Do We Serve Targeted Advertising?,¿Servimos publicidad dirigida?,Servons-nous de la publicité ciblée?,क्या हम लक्षित विज्ञापन की सेवा करते हैं?
GDPR,,how_often_updated,How Often Will We Update This Cookie Policy,¿Con qué frecuencia actualizaremos esta política de cookies?,À quelle fréquence allons-nous mettre à jour cette politique de cookie,हम कितनी बार इस कुकी नीति को अपडेट करेंगे
GDPR,,contact_us,Contact Us,Contáctenos,Nous contacter,संपर्क करें
GDPR,,cookie_policy,COOKIE POLICY,POLÍTICA DE COOKIES,Politique de cookie,कूकी नीति
GDPR,,last_update,Last Updated 9/30/2021,Última actualización 9/30/2021,Dernière mise à jour le 30/09/2021,अंतिम अद्यतन 9/30/2021
GDPR,,,,,,
Edit Profile,,update_your_profile,Update your Profile,Actualiza tu perfil,Mettre à jour votre profil,अपने प्रालेख का अद्यतन करें
Edit Profile,,why_update_your_profile,Update your profile to add more information about yourself or to change your information.,Actualice su perfil para agregar más información sobre usted o para cambiar su información.,Mettez à jour votre profil pour ajouter plus d'informations sur vous-même ou pour modifier vos informations.,अपने बारे में अधिक जानकारी जोड़ने या अपनी जानकारी बदलने के लिए अपनी प्रोफ़ाइल को अपडेट करें।
